Sim 2

Light Normalized Radiosity: 91.86454%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 6.93569%
Light Transmittance: 1.19977%
Stokes Shift Absorptance (converted to heat): 0.58305%
Quantum Yield Absorptance (converted to heat): 0.89127%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 4.45568%
Fluorescent Absorptance (converted to fluorescent emission): 2.98163%
Reflectance by Fluorescent Emission: 2.89266%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 5.46199%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)
361.0	0.0725	0.8947	0.0	0.0138	0.0101	0.0571	0.0	0.0332	0.8709	1.511312	0.0	0.307486	0.0	1.140926	0.69794163	500.0	0.019391	
363.0	0.0874	0.8745	0.0	0.0157	0.0148	0.0688	0.0	0.0383	0.8441	1.510934	0.0	0.223026	0.0	1.074405	0.6596778	500.0	0.019389	
365.0	0.1052	0.8429	0.0	0.0213	0.0184	0.0924	0.0	0.0527	0.8032	1.510574	0.0	0.176198	0.0	1.049992	0.61553405	500.0	0.019388	
367.0	0.1303	0.813	0.0	0.0225	0.0211	0.1009	0.0	0.0573	0.7694	1.510248	0.0	0.155102	0.0	1.09584	0.55675143	500.0	0.019387	
369.0	0.1554	0.7899	0.0	0.0216	0.0202	0.0971	0.0	0.0552	0.7481	1.509935	0.0	0.139312	0.0	1.172539	0.50061036	500.0	0.019387	
371.0	0.1733	0.7523	0.0	0.0285	0.0243	0.1285	0.0	0.0757	0.6996	1.509578	0.0	0.110492	0.0	1.157076	0.47826097	500.0	0.019388	
373.0	0.1913	0.7177	0.0	0.0343	0.0322	0.159	0.0	0.0924	0.6513	1.509217	0.0	0.07985	0.0	1.053622	0.49264039	500.0	0.019388	
375.0	0.1945	0.6938	0.0	0.041	0.0389	0.1931	0.0	0.1131	0.6139	1.5089	0.0	0.059841	0.0	0.959713	0.51396984	500.0	0.019388	
377.0	0.2019	0.6663	0.0	0.0477	0.0486	0.2298	0.0	0.1334	0.5701	1.508588	0.0	0.048333	0.0	0.896781	0.52439929	500.0	0.019391	
379.0	0.2246	0.6306	0.0	0.0513	0.0443	0.2428	0.0	0.1472	0.5351	1.508276	0.0	0.042046	0.0	0.861942	0.51848972	500.0	0.019395	
381.0	0.2274	0.6219	0.0	0.0523	0.048	0.2533	0.0	0.1528	0.5216	1.507981	0.0	0.039904	0.0	0.863719	0.49212946	500.0	0.019399	
383.0	0.2452	0.6227	0.0	0.0451	0.0456	0.2253	0.0	0.1346	0.5321	1.50771	0.0	0.042733	0.0	0.93356	0.43441317	500.0	0.019404	
385.0	0.2755	0.5986	0.0	0.0419	0.0402	0.2094	0.0	0.1272	0.5166	1.507433	0.0	0.048591	0.0	1.071862	0.33272638	500.0	0.01941	
387.0	0.3041	0.5608	0.0	0.0443	0.0489	0.2304	0.0	0.1372	0.4677	1.507128	0.0	0.03895	0.0	0.996494	0.24083387	500.0	0.019417	
389.0	0.3223	0.5024	0.0	0.056	0.061	0.295	0.0	0.178	0.3854	1.506836	0.0	0.023862	0.0	0.808707	0.2221427	500.0	0.019424	
391.0	0.3328	0.4482	0.0	0.0684	0.0724	0.3629	0.0	0.222	0.3074	1.50657	0.0	0.016162	0.0	0.735683	0.23455951	500.0	0.01943	
393.0	0.3431	0.4172	0.0	0.0738	0.0804	0.3985	0.0	0.2442	0.263	1.50631	0.0	0.012178	0.0	0.736563	0.25111229	500.0	0.019436	
395.0	0.3597	0.3826	0.0	0.0777	0.0875	0.4284	0.0	0.2632	0.2174	1.50605	0.0	0.009695	0.0	0.775208	0.26674185	500.0	0.019443	
397.0	0.3783	0.3512	0.0	0.0796	0.0873	0.4421	0.0	0.2752	0.1844	1.50579	0.0	0.00797	0.0	0.832099	0.27975657	500.0	0.01945	
399.0	0.3979	0.3218	0.0	0.0801	0.089	0.453	0.0	0.2838	0.1527	1.50553	0.0	0.00664	0.0	0.893351	0.28936719	500.0	0.019458	
401.0	0.4118	0.3006	0.0	0.0807	0.0878	0.4604	0.0	0.2919	0.1321	1.50528	0.0	0.005557	0.0	0.94756	0.29582557	500.0	0.019465	
403.0	0.4225	0.29	0.0	0.0792	0.0934	0.4651	0.0	0.2924	0.1174	1.50504	0.0	0.004665	0.0	0.986908	0.30025661	500.0	0.019474	
405.0	0.4248	0.2769	0.0	0.08	0.0951	0.4787	0.0	0.3035	0.1018	1.5048	0.0	0.003888	0.0	1.009372	0.30431046	500.0	0.019483	
407.0	0.4283	0.265	0.0	0.0795	0.0981	0.489	0.0	0.3114	0.0875	1.504562	0.0	0.003274	0.0	1.018376	0.30954767	500.0	0.019492	
409.0	0.4336	0.2521	0.0	0.0799	0.0954	0.4953	0.0	0.32	0.0768	1.504324	0.0	0.00276	0.0	1.021435	0.31722662	500.0	0.019501	
411.0	0.4314	0.2467	0.0	0.0802	0.1019	0.5102	0.0	0.328	0.0646	1.504086	0.0	0.002363	0.0	1.026687	0.32766891	500.0	0.019509	
413.0	0.4385	0.238	0.0	0.0787	0.099	0.5062	0.0	0.3285	0.0602	1.503848	0.0	0.002059	0.0	1.041414	0.34026734	500.0	0.019517	
415.0	0.4318	0.236	0.0	0.0787	0.1009	0.5174	0.0	0.3377	0.0564	1.503611	0.0	0.001834	0.0	1.071259	0.35331099	500.0	0.019524	
417.0	0.4415	0.2271	0.0	0.0767	0.0992	0.5139	0.0	0.338	0.0512	1.503394	0.0	0.001668	0.0	1.120004	0.36414158	500.0	0.01953	
419.0	0.4493	0.2219	0.0	0.0734	0.1006	0.5097	0.0	0.3357	0.048	1.503191	0.0	0.001551	0.0	1.187246	0.36936661	500.0	0.019538	
421.0	0.4623	0.213	0.0	0.0718	0.1011	0.504	0.0	0.331	0.0401	1.50299	0.0	0.001448	0.0	1.263757	0.36608301	500.0	0.019548	
423.0	0.4663	0.2067	0.0	0.0695	0.0994	0.5003	0.0	0.3313	0.0378	1.502788	0.0	0.001333	0.0	1.325148	0.35407437	500.0	0.019558	
425.0	0.4863	0.1971	0.0	0.0654	0.0971	0.4847	0.0	0.3222	0.0346	1.502587	0.0	0.001168	0.0	1.340962	0.33833568	500.0	0.019565	
427.0	0.4848	0.1901	0.0	0.0654	0.0963	0.4921	0.0	0.3305	0.0285	1.502387	0.0	0.000963	0.0	1.304643	0.32819829	500.0	0.019568	
429.0	0.4727	0.1911	0.0	0.0659	0.1001	0.5077	0.0	0.3416	0.0251	1.502204	0.0	0.000763	0.0	1.244964	0.33138573	500.0	0.019567	
431.0	0.4666	0.1935	0.0	0.0646	0.1045	0.5157	0.0	0.3465	0.0244	1.502022	0.0	0.000597	0.0	1.194554	0.34870718	500.0	0.019561	
433.0	0.4536	0.1902	0.0	0.0659	0.1046	0.5317	0.0	0.3612	0.0197	1.501839	0.0	0.00047	0.0	1.167604	0.37544548	500.0	0.019547	
435.0	0.4458	0.1921	0.0	0.0651	0.1099	0.5425	0.0	0.3675	0.0171	1.501656	0.0	0.000376	0.0	1.164026	0.40576025	500.0	0.019523	
437.0	0.4354	0.1944	0.0	0.0644	0.1132	0.5551	0.0	0.3776	0.0169	1.501473	0.0	0.000307	0.0	1.178778	0.43547056	500.0	0.019487	
439.0	0.448	0.1848	0.0	0.0619	0.1097	0.5446	0.0	0.373	0.0132	1.501301	0.0	0.000253	0.0	1.206524	0.46235679	500.0	0.019436	
441.0	0.437	0.183	0.0	0.0618	0.1096	0.5583	0.0	0.3868	0.0116	1.501137	0.0	0.000212	0.0	1.242929	0.48562693	500.0	0.019368	
443.0	0.4391	0.1883	0.0	0.0588	0.1164	0.556	0.0	0.3807	0.013	1.500972	0.0	0.000179	0.0	1.284576	0.50518879	500.0	0.019306	
445.0	0.4483	0.1794	0.0	0.0571	0.1113	0.5479	0.0	0.3796	0.011	1.500807	0.0	0.000153	0.0	1.329182	0.52144032	500.0	0.019225	
447.0	0.4378	0.1763	0.0	0.0565	0.1098	0.558	0.0	0.3916	0.01	1.500642	0.0	0.000131	0.0	1.375121	0.53487896	500.0	0.019114	
449.0	0.4453	0.1772	0.0	0.0536	0.1139	0.5513	0.0	0.3837	0.0096	1.500481	0.0	0.000113	0.0	1.42119	0.54597462	500.0	0.018932	
451.0	0.4475	0.1701	0.0	0.0525	0.1073	0.5496	0.0	0.3898	0.0103	1.500334	0.0	9.8e-05	0.0	1.46677	0.55520668	500.0	0.018608	
453.0	0.4506	0.1754	0.0	0.0493	0.1163	0.5473	0.0	0.3816	0.0098	1.500187	0.0	8.5e-05	0.0	1.511407	0.56292368	500.0	0.018097	
455.0	0.4612	0.1647	0.0	0.0475	0.1087	0.5362	0.0	0.3801	0.0085	1.500041	0.0	7.4e-05	0.0	1.555057	0.56944305	500.0	0.017348	
457.0	0.4738	0.1652	0.0	0.0446	0.1106	0.524	0.0	0.3688	0.01	1.499895	0.0	6.5e-05	0.0	1.59767	0.57496505	500.0	0.016471	
459.0	0.4922	0.152	0.0	0.042	0.0998	0.5056	0.0	0.3638	0.0102	1.499748	0.0	5.8e-05	0.0	1.640021	0.57975499	500.0	0.014815	
461.0	0.5313	0.1412	0.0	0.0368	0.094	0.467	0.0	0.3362	0.0104	1.499602	0.0	5.1e-05	0.0	1.683236	0.58405917	500.0	0.011421	
463.0	0.6258	0.1132	0.0	0.0296	0.0733	0.3786	0.0059	0.2769	0.0103	1.499456	0.0	4.6e-05	0.0	1.728128	0.58792013	500.0	0.006114	
465.0	0.9605	0.045	0.0	0.0054	0.0138	0.0656	0.0467	0.047	0.0257	1.499309	0.0	4.1e-05	0.0	1.773263	0.59115739	500.0	0.000114	
467.0	1.0334	0.0392	0.0008	0.0	0.0	0.0	0.0732	0.0	0.0392	1.499163	0.0	3.7e-05	0.0	1.813994	0.59258827	500.0	0.0	
469.0	1.0495	0.0361	0.0012	0.0	0.0	0.0	0.0866	0.0	0.0361	1.499016	0.0	3.3e-05	0.0	1.853413	0.59361726	500.0	0.0	
