Sim 1

Light Normalized Radiosity: 91.95037%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 6.69974%
Light Transmittance: 1.34989%
Stokes Shift Absorptance (converted to heat): 0.18847%
Quantum Yield Absorptance (converted to heat): 0.30918%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 1.55765%
Fluorescent Absorptance (converted to fluorescent emission): 1.06007%
Reflectance by Fluorescent Emission: 0.9934%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 6.20209%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)
301.0	0.0479	0.9512	0.0	0.0007	0.0003	0.0019	0.0	0.0009	0.9502	1.527336	1e-06	0.522467	3.6e-05	0.574785	0.82205447	500.0	0.001407	
303.0	0.048	0.9505	0.0	0.0011	0.0008	0.0034	0.0	0.0016	0.9487	1.526609	1e-06	0.524282	3.3e-05	0.57331	0.82268572	500.0	0.001695	
305.0	0.0472	0.9514	0.0	0.001	0.0007	0.0032	0.0	0.0015	0.9497	1.525881	1e-06	0.526092	2.9e-05	0.572171	0.82334201	500.0	0.001711	
307.0	0.0465	0.9517	0.0	0.0012	0.0003	0.0033	0.0	0.0018	0.9502	1.525152	1e-06	0.527906	2.6e-05	0.571034	0.8239539	500.0	0.001716	
309.0	0.0465	0.9523	0.0	0.0007	0.0003	0.0022	0.0	0.0012	0.9513	1.524458	1e-06	0.529722	2.3e-05	0.569853	0.8245172	500.0	0.001724	
311.0	0.0477	0.9507	0.0	0.001	0.0008	0.0034	0.0	0.0016	0.9489	1.523788	1e-06	0.531534	2e-05	0.568605	0.82501259	500.0	0.001731	
313.0	0.0466	0.9516	0.0	0.0011	0.0006	0.0035	0.0	0.0018	0.9498	1.523144	0.0	0.533348	1.7e-05	0.567238	0.82541901	500.0	0.001739	
315.0	0.046	0.9524	0.0	0.001	0.0011	0.0037	0.0	0.0017	0.9503	1.522519	0.0	0.535172	1.4e-05	0.565692	0.8257009	500.0	0.001745	
317.0	0.0458	0.953	0.0	0.0008	0.0008	0.0028	0.0	0.0012	0.9515	1.521895	0.0	0.536995	1.2e-05	0.563918	0.82580081	500.0	0.001751	
319.0	0.0473	0.951	0.0	0.001	0.0008	0.0034	0.0	0.0017	0.9492	1.521272	0.0	0.538801	9e-06	0.561882	0.8256408	500.0	0.001756	
321.0	0.0463	0.9526	0.0	0.0006	0.0009	0.0026	0.0	0.0011	0.9511	1.520694	0.0	0.540552	7e-06	0.559601	0.82513445	500.0	0.00176	
323.0	0.0454	0.9534	0.0	0.0008	0.0007	0.0028	0.0	0.0013	0.9519	1.520123	0.0	0.542143	5e-06	0.557218	0.82414522	500.0	0.001762	
325.0	0.0461	0.9523	0.0	0.0009	0.0008	0.0034	0.0	0.0016	0.9506	1.51955	0.0	0.543428	3e-06	0.555071	0.82262519	500.0	0.001764	
