Sim 3

Light Normalized Radiosity: 91.84976%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 7.14228%
Light Transmittance: 1.00796%
Stokes Shift Absorptance (converted to heat): 0.80895%
Quantum Yield Absorptance (converted to heat): 1.20085%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 5.99789%
Fluorescent Absorptance (converted to fluorescent emission): 3.98855%
Reflectance by Fluorescent Emission: 3.89554%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 5.13302%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)
301.0	0.0478	0.9218	0.0	0.0215	0.0113	0.0634	0.0	0.0307	0.8891	1.527336	1e-06	0.647759	2.6e-05	0.779706	0.83577845	500.0	0.043596	
303.0	0.0463	0.9184	0.0	0.0247	0.0162	0.0765	0.0	0.0357	0.8777	1.526609	1e-06	0.650009	2.4e-05	0.767773	0.83507579	500.0	0.052525	
305.0	0.0465	0.9214	0.0	0.0219	0.0138	0.0683	0.0	0.0325	0.8858	1.525881	1e-06	0.652253	2.1e-05	0.765746	0.83562238	500.0	0.053041	
307.0	0.0465	0.919	0.0	0.0232	0.0172	0.0756	0.0	0.0351	0.8787	1.525152	1e-06	0.654502	1.9e-05	0.76415	0.83618344	500.0	0.053199	
309.0	0.0456	0.9182	0.0	0.024	0.0127	0.0733	0.0	0.0366	0.8815	1.524458	1e-06	0.656753	1.7e-05	0.762391	0.83668713	500.0	0.053442	
311.0	0.0471	0.9176	0.0	0.023	0.0169	0.0753	0.0	0.0354	0.8778	1.523788	1e-06	0.659	1.5e-05	0.760568	0.83713231	500.0	0.053667	
313.0	0.046	0.9168	0.0	0.024	0.0147	0.0765	0.0	0.0378	0.8782	1.523144	0.0	0.661249	1.3e-05	0.758599	0.83749872	500.0	0.053888	
315.0	0.0452	0.921	0.0	0.0211	0.013	0.0683	0.0	0.0342	0.887	1.522519	0.0	0.66351	1e-05	0.756432	0.83775681	500.0	0.054089	
317.0	0.0456	0.9201	0.0	0.0212	0.0149	0.0707	0.0	0.0346	0.8841	1.521895	0.0	0.665771	8e-06	0.754001	0.83785402	500.0	0.054275	
319.0	0.0451	0.9206	0.0	0.021	0.0146	0.07	0.0	0.0345	0.8852	1.521272	0.0	0.66801	7e-06	0.751288	0.83772145	500.0	0.054428	
321.0	0.0462	0.9184	0.0	0.0211	0.0162	0.0729	0.0	0.0356	0.8813	1.520694	0.0	0.67018	5e-06	0.748318	0.83727908	500.0	0.054543	
323.0	0.0468	0.9174	0.0	0.0214	0.016	0.0738	0.0	0.0364	0.8801	1.520123	0.0	0.672154	4e-06	0.745263	0.83639678	500.0	0.054626	
325.0	0.0445	0.9194	0.0	0.0209	0.0149	0.0721	0.0	0.0362	0.8836	1.51955	0.0	0.673746	3e-06	0.742529	0.8350217	500.0	0.054686	
327.0	0.0465	0.9184	0.0	0.02	0.0138	0.0692	0.0	0.0354	0.8847	1.518986	0.0	0.674565	2e-06	0.740835	0.83309259	500.0	0.054737	
329.0	0.0475	0.9149	0.0	0.0212	0.0157	0.075	0.0	0.0381	0.8781	1.51846	0.0	0.674021	1e-06	0.741423	0.83071025	500.0	0.05476	
331.0	0.046	0.915	0.0	0.0215	0.0141	0.0748	0.0	0.0392	0.8795	1.51794	0.0	0.671139	0.0	0.746075	0.82795677	500.0	0.054775	
333.0	0.0458	0.9179	0.0	0.0199	0.013	0.0699	0.0	0.037	0.8851	1.517421	0.0	0.664962	0.0	0.757633	0.82532109	500.0	0.054783	
335.0	0.0451	0.9169	0.0	0.0203	0.0139	0.0726	0.0	0.0384	0.8828	1.516911	0.0	0.654469	0.0	0.779461	0.82263349	500.0	0.054785	
337.0	0.0467	0.9137	0.0	0.0206	0.0141	0.0745	0.0	0.0398	0.8791	1.516442	0.0	0.640347	0.0	0.814637	0.82004702	500.0	0.054784	
339.0	0.0471	0.9135	0.0	0.0203	0.0158	0.0758	0.0	0.0396	0.8774	1.515974	0.0	0.625095	0.0	0.862936	0.81744551	500.0	0.05478	
341.0	0.0479	0.9093	0.0	0.0215	0.018	0.0826	0.0	0.043	0.8698	1.515506	0.0	0.610961	0.0	0.919963	0.81435066	500.0	0.054775	
343.0	0.0478	0.9119	0.0	0.0201	0.0145	0.0751	0.0	0.0406	0.8775	1.515038	0.0	0.598318	0.0	0.977425	0.81055866	500.0	0.054766	
345.0	0.0487	0.9098	0.0	0.0203	0.018	0.0805	0.0	0.0422	0.8716	1.51457	0.0	0.582697	0.0	1.029952	0.80590122	500.0	0.054756	
347.0	0.0495	0.9046	0.0	0.0221	0.0185	0.087	0.0	0.0464	0.8641	1.514123	0.0	0.559279	0.0	1.080974	0.80132203	500.0	0.054744	
349.0	0.051	0.8969	0.0	0.0242	0.0163	0.093	0.0	0.0525	0.8564	1.513708	0.0	0.517845	0.0	1.136886	0.79923338	500.0	0.054734	
351.0	0.0543	0.8898	0.0	0.0259	0.0216	0.1042	0.0	0.0567	0.8424	1.513292	0.0	0.450996	0.0	1.194278	0.80213165	500.0	0.054727	
353.0	0.0546	0.8853	0.0	0.0274	0.0241	0.1125	0.0	0.0611	0.8339	1.512878	0.0	0.387998	0.0	1.250286	0.8057477	500.0	0.054721	
355.0	0.0589	0.8649	0.0	0.0339	0.0243	0.1352	0.0	0.077	0.8068	1.51249	0.0	0.34554	0.0	1.29604	0.80287298	500.0	0.054717	
357.0	0.0632	0.8599	0.0	0.0337	0.0265	0.1384	0.0	0.0782	0.7999	1.512126	0.0	0.323556	0.0	1.323695	0.7893203	500.0	0.054712	
359.0	0.0661	0.8602	0.0	0.0313	0.026	0.1314	0.0	0.0741	0.803	1.511727	0.0	0.334129	0.0	1.334201	0.75939305	500.0	0.054707	
361.0	0.0698	0.8615	0.0	0.0288	0.0247	0.1225	0.0	0.069	0.8081	1.511312	0.0	0.346981	0.0	1.321395	0.70546701	500.0	0.054703	
363.0	0.0817	0.8262	0.0	0.0381	0.031	0.1621	0.0	0.0931	0.7572	1.510934	0.0	0.251673	0.0	1.246333	0.66869711	500.0	0.0547	
