Sim 2

Light Normalized Radiosity: 89.71102%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 9.95062%
Light Transmittance: 0.33836%
Stokes Shift Absorptance (converted to heat): 3.54452%
Quantum Yield Absorptance (converted to heat): 6.40605%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 30.03404%
Fluorescent Absorptance (converted to fluorescent emission): 20.62649%
Reflectance by Fluorescent Emission: 16.19455%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 5e-05%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)	mu_a(fluorescent)2(1)
310.0	0.5814	0.1391	0.0	0.0859	0.0592	0.4183	0.0	0.1912	0.0003	1.52412	1e-06	4.2e-05	7e-06	12.482422	0.83075692	500.0	0.00845	0.014984	
315.0	0.5696	0.1368	0.0	0.0868	0.0559	0.4303	0.0	0.2022	0.0001	1.522519	0.0	2.8e-05	5e-06	12.428748	0.83391679	500.0	0.008698	0.015881	
320.0	0.5652	0.1482	0.0	0.0865	0.0665	0.4347	0.0	0.2021	0.0001	1.520989	0.0	1.5e-05	3e-06	12.477344	0.83884783	500.0	0.008171	0.016601	
325.0	0.5562	0.144	0.0	0.0855	0.0625	0.4436	0.0	0.2127	0.0002	1.51955	0.0	7e-06	1e-06	12.575644	0.84421934	500.0	0.00835	0.017139	
330.0	0.5449	0.147	0.0	0.0854	0.0667	0.4551	0.0	0.22	0.0	1.5182	0.0	2e-06	0.0	12.647762	0.84890041	500.0	0.009287	0.017948	
335.0	0.5347	0.1495	0.0	0.0859	0.0696	0.4653	0.0	0.2275	0.0	1.516918	0.0	0.0	0.0	12.629312	0.85236757	500.0	0.010515	0.018647	
340.0	0.5204	0.15	0.0	0.0895	0.0656	0.4796	0.0	0.2417	0.0	1.51574	0.0	0.0	0.0	12.503987	0.85410044	500.0	0.012348	0.019441	
345.0	0.4999	0.1509	0.0	0.0911	0.0662	0.5001	0.0	0.2571	0.0	1.51457	0.0	0.0	0.0	12.294223	0.85433313	500.0	0.015142	0.020024	
350.0	0.4977	0.1539	0.0	0.0933	0.0669	0.5023	0.0	0.2616	0.0	1.5135	0.0	0.0	0.0	12.057889	0.85348391	500.0	0.017231	0.020519	
355.0	0.4823	0.1546	0.0	0.0908	0.0691	0.5177	0.0	0.2736	0.0	1.512496	0.0	0.0	0.0	11.843027	0.85214492	500.0	0.016846	0.020834	
360.0	0.4992	0.1484	0.0	0.0875	0.0653	0.5008	0.0	0.2693	0.0	1.51152	0.0	0.0	0.0	11.666213	0.85085735	500.0	0.015371	0.021054	
365.0	0.5066	0.1503	0.0	0.0808	0.0742	0.4934	0.0	0.2628	0.0	1.510581	0.0	0.0	0.0	11.530713	0.84987292	500.0	0.012564	0.021213	
370.0	0.5128	0.1497	0.0	0.0778	0.077	0.4872	0.0	0.2601	0.0	1.509755	0.0	0.0	0.0	11.414428	0.84948671	500.0	0.009863	0.021332	
375.0	0.5035	0.1477	0.0	0.0767	0.0758	0.4965	0.0	0.2708	0.0	1.508901	0.0	0.0	0.0	11.301839	0.8496478	500.0	0.009034	0.021444	
380.0	0.5105	0.1415	0.0	0.0727	0.0735	0.4895	0.0	0.2716	0.0	1.508134	0.0	0.0	0.0	11.177748	0.85024886	500.0	0.009107	0.021529	
385.0	0.5025	0.1438	0.0	0.0744	0.074	0.4974	0.0	0.2798	0.0	1.50742	0.0	0.0	0.0	11.025987	0.85116233	500.0	0.009996	0.021574	
390.0	0.5057	0.1407	0.0	0.0724	0.0731	0.4944	0.0	0.2816	0.0	1.506703	0.0	0.0	0.0	10.848296	0.85209717	500.0	0.010496	0.02162	
395.0	0.4916	0.1432	0.0	0.0711	0.0764	0.5084	0.0	0.2926	0.0	1.50605	0.0	0.0	0.0	10.646382	0.85285866	500.0	0.011122	0.021769	
400.0	0.4855	0.1452	0.0	0.0702	0.0792	0.5145	0.0	0.2989	0.0	1.505408	0.0	0.0	0.0	10.427346	0.85331842	500.0	0.011972	0.021893	
405.0	0.4842	0.1397	0.0	0.0698	0.074	0.5158	0.0	0.3071	0.0	1.504801	0.0	0.0	0.0	10.206239	0.85337396	500.0	0.012344	0.021921	
410.0	0.4766	0.1402	0.0	0.0702	0.0742	0.5234	0.0	0.3159	0.0	1.504205	0.0	0.0	0.0	9.990436	0.85302948	500.0	0.011848	0.021879	
415.0	0.4711	0.1403	0.0	0.0667	0.0776	0.5289	0.0	0.3212	0.0	1.503616	0.0	0.0	0.0	9.783838	0.85228067	500.0	0.011858	0.021989	
420.0	0.4777	0.1295	0.0	0.0648	0.0694	0.5223	0.0	0.3267	0.0	1.50309	0.0	0.0	0.0	9.593354	0.85114866	500.0	0.01244	0.022071	
425.0	0.4774	0.1302	0.0	0.0628	0.071	0.5226	0.0	0.3294	0.0	1.502587	0.0	0.0	0.0	9.41895	0.84978104	500.0	0.012062	0.021849	
430.0	0.4738	0.1322	0.0	0.0604	0.076	0.5262	0.0	0.3321	0.0	1.502113	0.0	0.0	0.0	9.253882	0.84831948	500.0	0.011844	0.021577	
435.0	0.4713	0.1311	0.0	0.0593	0.0757	0.5286	0.0	0.3379	0.0	1.501656	0.0	0.0	0.0	9.096429	0.84675368	500.0	0.011626	0.021596	
440.0	0.4675	0.1272	0.0	0.059	0.0717	0.5326	0.0	0.3475	0.0	1.501219	0.0	0.0	0.0	8.944693	0.84507792	500.0	0.012503	0.021842	
445.0	0.4688	0.1273	0.0	0.0552	0.0755	0.5312	0.0	0.3482	0.0	1.500807	0.0	0.0	0.0	8.792467	0.84346639	500.0	0.013537	0.022418	
450.0	0.4588	0.1248	0.0	0.0566	0.0717	0.5412	0.0	0.3626	0.0	1.500407	0.0	0.0	0.0	8.636822	0.84195374	500.0	0.013514	0.02273	
