Sim 3

Light Normalized Radiosity: 88.45582%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 11.21764%
Light Transmittance: 0.32653%
Stokes Shift Absorptance (converted to heat): 4.08935%
Quantum Yield Absorptance (converted to heat): 7.12826%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 34.88426%
Fluorescent Absorptance (converted to fluorescent emission): 24.403%
Reflectance by Fluorescent Emission: 18.8249%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 4e-05%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)	mu_a(fluorescent)2(1)
455.0	0.401	0.114	0.0	0.0537	0.0637	0.599	0.0	0.4179	0.0	1.500041	0.0	0.0	0.0	8.76604	0.84120388	500.0	0.031699	0.022741	
460.0	0.3909	0.1121	0.0	0.0546	0.061	0.609	0.0	0.4325	0.0	1.499675	0.0	0.0	0.0	8.599948	0.83968764	500.0	0.034749	0.02184	
465.0	0.3791	0.1073	0.0	0.0513	0.0589	0.6209	0.0	0.4486	0.0	1.499309	0.0	0.0	0.0	8.422855	0.83824464	500.0	0.037185	0.021959	
470.0	0.3695	0.1084	0.0	0.0521	0.0596	0.6305	0.0	0.4606	0.0	1.498943	0.0	0.0	0.0	8.249694	0.83662289	500.0	0.042141	0.02227	
475.0	0.3591	0.1066	0.0	0.052	0.0575	0.6409	0.0	0.4756	0.0	1.498618	0.0	0.0	0.0	8.076149	0.83505684	500.0	0.044027	0.021714	
480.0	0.3653	0.1085	0.0	0.0504	0.0608	0.6347	0.0	0.4723	0.0	1.498298	0.0	0.0	0.0	7.901399	0.83342213	500.0	0.045391	0.020474	
485.0	0.3592	0.1014	0.0	0.0485	0.0556	0.6408	0.0	0.4872	0.0	1.49801	0.0	0.0	0.0	7.731745	0.83177215	500.0	0.0501	0.019162	
490.0	0.3405	0.0971	0.0	0.0475	0.0526	0.6595	0.0	0.5104	0.0	1.497735	0.0	0.0	0.0	7.565569	0.83014481	500.0	0.052717	0.01785	
495.0	0.3394	0.0916	0.0	0.0448	0.0494	0.6606	0.0	0.5199	0.0	1.497461	0.0	0.0	0.0	7.408245	0.82848712	500.0	0.055899	0.016775	
500.0	0.3434	0.092	0.0	0.0426	0.0516	0.6566	0.0	0.5198	0.0	1.497186	0.0	0.0	0.0	7.256571	0.82691798	500.0	0.05711	0.015962	
505.0	0.3323	0.0856	0.0	0.0422	0.0456	0.6677	0.0	0.5392	0.0	1.496912	0.0	0.0	0.0	7.115652	0.82536424	500.0	0.060087	0.015024	
510.0	0.3335	0.082	0.0	0.0397	0.0442	0.6665	0.0	0.5447	0.0	1.496637	0.0	0.0	0.0	6.981355	0.82395729	500.0	0.061803	0.014188	
515.0	0.3262	0.0801	0.0	0.0373	0.0445	0.6738	0.0	0.5563	0.0	1.496369	0.0	0.0	0.0	6.853017	0.82262467	500.0	0.064792	0.013339	
520.0	0.3201	0.0762	0.0	0.0363	0.0417	0.6799	0.0	0.5694	0.0	1.49614	0.0	0.0	0.0	6.730473	0.82145024	500.0	0.0668	0.012522	
525.0	0.3177	0.0758	0.0	0.0331	0.0442	0.6822	0.0	0.5755	0.0	1.495918	0.0	0.0	0.0	6.615499	0.82035543	500.0	0.068242	0.011701	
530.0	0.3141	0.0691	0.0	0.0318	0.0387	0.6859	0.0	0.5884	0.0	1.495726	0.0	0.0	0.0	6.504087	0.81938514	500.0	0.068678	0.010861	
535.0	0.4455	0.2123	0.0	0.0749	0.1427	0.7863	0.1278	0.5905	0.0	1.495544	0.0	0.0	0.0	6.396197	0.81850296	500.0	0.06896	0.009985	
540.0	0.5569	0.3397	0.0	0.1129	0.2342	0.8817	0.2464	0.6	0.0	1.495361	0.0	0.0	0.0	6.291816	0.81770439	500.0	0.067847	0.009105	
545.0	0.6831	0.4676	0.0	0.1516	0.3231	0.9651	0.365	0.6004	0.0	1.495178	0.0	0.0	0.0	6.191152	0.81693178	500.0	0.067418	0.008206	
550.0	0.8156	0.5646	0.0	0.1886	0.3832	1.0129	0.4861	0.5938	0.0	1.494995	0.0	0.0	0.0	6.090389	0.81623658	500.0	0.065304	0.007283	
555.0	0.8837	0.6276	0.0	0.2099	0.4241	1.0604	0.5585	0.6063	0.0	1.494812	0.0	0.0	0.0	5.990741	0.81550145	500.0	0.06528	0.006432	
560.0	0.9367	0.6531	0.0	0.2162	0.439	1.0696	0.6027	0.6066	0.0	1.494629	0.0	0.0	0.0	5.89084	0.81476652	500.0	0.063059	0.0057	
565.0	0.9541	0.6347	0.0	0.2191	0.4135	1.0509	0.6238	0.6177	0.0	1.494446	0.0	0.0	0.0	5.795052	0.81389291	500.0	0.061928	0.005094	
570.0	1.0009	0.6145	0.0	0.2138	0.3977	1.0231	0.6579	0.6121	0.0	1.494272	0.0	0.0	0.0	5.698517	0.81299032	500.0	0.058551	0.004497	
575.0	1.028	0.5917	0.0	0.1961	0.3879	0.9991	0.6729	0.6036	0.0	1.494135	0.0	0.0	0.0	5.606633	0.81210561	500.0	0.050939	0.003865	
580.0	1.06	0.5399	0.0	0.18	0.3513	0.9433	0.6833	0.5893	0.0	1.493998	0.0	0.0	0.0	5.516898	0.81106413	500.0	0.0429	0.003193	
585.0	1.1664	0.4794	0.0	0.1485	0.3185	0.86	0.7371	0.5435	0.0	1.493861	0.0	0.0	0.0	5.427222	0.81008626	500.0	0.030547	0.002469	
590.0	1.3423	0.4337	0.0	0.1271	0.2949	0.7734	0.8519	0.4846	0.0	1.493723	0.0	0.0	0.0	5.34633	0.80822833	500.0	0.020345	0.001985	
595.0	1.4813	0.3765	0.0	0.1011	0.2612	0.6879	0.9322	0.4355	0.0	1.493586	0.0	0.0	0.0	5.254111	0.80669751	500.0	0.013121	0.001514	
600.0	1.8766	0.2256	0.0	0.0635	0.1557	0.4645	1.1985	0.3178	0.0	1.493449	0.0	0.0	0.0	5.163324	0.80541237	500.0	0.005502	9.2e-05	
605.0	1.98	0.1653	0.0002	0.0418	0.1177	0.3586	1.2308	0.2504	0.0	1.493312	0.0	0.0	0.0	5.071829	0.80328354	500.0	0.003096	0.0	
610.0	1.8554	0.1285	0.0	0.033	0.0901	0.3177	1.0915	0.2385	0.0	1.493174	0.0	0.0	0.0	4.972794	0.80142811	500.0	0.002598	0.0	
615.0	1.7069	0.1111	0.0	0.0279	0.0792	0.3047	0.9414	0.2382	0.0	1.493059	0.0	0.0	0.0	4.886419	0.79847978	500.0	0.002523	0.0	
620.0	1.5396	0.0946	0.0001	0.0219	0.0678	0.2974	0.7783	0.2442	0.0	1.492967	0.0	0.0	0.0	4.794042	0.79592429	500.0	0.002479	0.0	
625.0	1.5101	0.0786	0.0	0.0164	0.0583	0.259	0.72	0.2154	0.0	1.492847	0.0	0.0	0.0	4.696002	0.79406408	500.0	0.002024	0.0	
630.0	1.3865	0.0681	0.0	0.0134	0.0499	0.2587	0.603	0.2254	0.0	1.492723	0.0	0.0	0.0	4.619517	0.78995649	500.0	0.002086	0.0	
635.0	1.2811	0.0588	0.0	0.0094	0.0446	0.2526	0.4971	0.2269	0.0	1.492612	0.0	0.0	0.0	4.534419	0.78690035	500.0	0.002038	0.0	
640.0	1.2363	0.0443	0.0	0.0071	0.0338	0.2303	0.4397	0.2158	0.0	1.492507	0.0	0.0	0.0	4.440568	0.78496546	500.0	0.001589	0.0	
645.0	1.1922	0.0405	0.0	0.0053	0.0315	0.2208	0.3898	0.2092	0.0	1.492409	0.0	0.0	0.0	4.370724	0.78038061	500.0	0.001594	0.0	
650.0	1.1528	0.0338	0.0	0.0038	0.0265	0.2129	0.3457	0.2082	0.0	1.492318	0.0	0.0	0.0	4.292302	0.77700155	500.0	0.001509	0.0	
655.0	1.173	0.0334	0.0	0.0037	0.0259	0.1836	0.3392	0.1774	0.0	1.492226	0.0	0.0	0.0	4.207152	0.77465049	500.0	0.001175	0.0	
660.0	1.1183	0.0247	0.0	0.0016	0.0197	0.1824	0.2871	0.1845	0.0	1.492135	0.0	0.0	0.0	4.142391	0.77033515	500.0	0.001104	0.0	
665.0	1.1088	0.0224	0.0	0.0008	0.0181	0.1738	0.2691	0.1779	0.0	1.492043	0.0	0.0	0.0	4.071042	0.76661074	500.0	0.000992	0.0	
670.0	1.1079	0.0205	0.0	0.0001	0.0174	0.1558	0.2528	0.1593	0.0	1.491952	0.0	0.0	0.0	3.997948	0.76356921	500.0	0.000787	0.0	
675.0	1.1115	0.0176	0.0	0.0003	0.0153	0.1438	0.2466	0.1489	0.0	1.491861	0.0	0.0	0.0	3.932875	0.76040794	500.0	0.00065	0.0	
680.0	1.1044	0.0161	0.0	0.0003	0.0133	0.1291	0.2249	0.1351	0.0	1.491769	0.0	0.0	0.0	3.875395	0.75567361	500.0	0.000552	0.0	
685.0	1.1317	0.0144	0.0	0.0001	0.012	0.1212	0.2453	0.1284	0.0	1.491678	0.0	0.0	0.0	3.814362	0.7520413	500.0	0.000423	0.0	
690.0	1.1771	0.0128	0.0001	0.0005	0.0107	0.0916	0.262	0.0958	0.0	1.491612	0.0	0.0	0.0	3.746412	0.75020667	500.0	0.000249	0.0	
695.0	1.2063	0.0098	0.0	0.0003	0.0078	0.0718	0.2724	0.0765	0.0	1.491552	0.0	0.0	0.0	3.698325	0.74593701	500.0	0.000135	0.0	
700.0	1.2282	0.0063	0.0005	-0.0001	0.0052	0.0481	0.2726	0.0517	0.0	1.491481	0.0	0.0	0.0	3.641991	0.7426644	500.0	6.2e-05	0.0	
705.0	1.1682	0.0028	0.003	0.0	0.0024	0.026	0.1941	0.0284	0.0	1.491404	0.0	0.0	0.0	3.581592	0.74064363	500.0	2e-05	0.0	
710.0	0.9932	0.0	0.0068	0.0	0.0	0.0	0.0	0.0	0.0	1.491334	0.0	0.0	0.0	3.528523	0.7384887	500.0	0.0	0.0	
715.0	0.994	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	1.491275	0.0	0.0	0.0	3.48709	0.73427827	500.0	0.0	0.0	
720.0	0.9926	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	1.491219	0.0	0.0	0.0	3.437879	0.73151713	500.0	0.0	0.0	
725.0	0.9924	0.0	0.0076	0.0	0.0	0.0	0.0	0.0	0.0	1.491173	0.0	0.0	0.0	3.379836	0.73095042	500.0	0.0	0.0	
730.0	0.9933	0.0	0.0067	0.0	0.0	0.0	0.0	0.0	0.0	1.491125	0.0	0.0	0.0	3.335128	0.72919596	500.0	0.0	0.0	
735.0	0.9938	0.0	0.0062	0.0	0.0	0.0	0.0	0.0	0.0	1.491047	0.0	0.0	0.0	3.297771	0.72585402	500.0	0.0	0.0	
740.0	0.9926	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	1.49097	0.0	0.0	0.0	3.253774	0.72372782	500.0	0.0	0.0	
745.0	0.9938	0.0	0.0062	0.0	0.0	0.0	0.0	0.0	0.0	1.490908	0.0	0.0	0.0	3.200581	0.7239433	500.0	0.0	0.0	
750.0	0.9921	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	1.490848	0.0	0.0	0.0	3.159277	0.72298568	500.0	0.0	0.0	
755.0	0.9929	0.0	0.0071	0.0	0.0	0.0	0.0	0.0	0.0	1.490798	0.0	0.0	0.0	3.126281	0.72043459	500.0	0.0	0.0	
760.0	0.9928	0.0	0.0072	0.0	0.0	0.0	0.0	0.0	0.0	1.490753	0.0	0.0	0.0	3.085123	0.71893023	500.0	0.0	0.0	
765.0	0.9925	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	1.490707	0.0	0.0	0.0	3.036406	0.71945887	500.0	0.0	0.0	
770.0	0.9928	0.0	0.0072	0.0	0.0	0.0	0.0	0.0	0.0	1.490661	0.0	0.0	0.0	2.994333	0.71960432	500.0	0.0	0.0	
775.0	0.9902	0.0	0.0098	0.0	0.0	0.0	0.0	0.0	0.0	1.490615	0.0	0.0	0.0	2.963515	0.71811804	500.0	0.0	0.0	
780.0	0.9924	0.0	0.0076	0.0	0.0	0.0	0.0	0.0	0.0	1.49057	0.0	0.0	0.0	2.92654	0.7166832	500.0	0.0	0.0	
785.0	0.9913	0.0	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	1.490524	0.0	0.0	0.0	2.885243	0.71637471	500.0	0.0	0.0	
790.0	0.9937	0.0	0.0063	0.0	0.0	0.0	0.0	0.0	0.0	1.490478	0.0	0.0	0.0	2.841356	0.71769943	500.0	0.0	0.0	
795.0	0.9916	0.0	0.0084	0.0	0.0	0.0	0.0	0.0	0.0	1.490433	0.0	0.0	0.0	2.807541	0.71747001	500.0	0.0	0.0	
800.0	0.9925	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	1.490387	0.0	0.0	0.0	2.776367	0.71653371	500.0	0.0	0.0	
805.0	0.9923	0.0	0.0077	0.0	0.0	0.0	0.0	0.0	0.0	1.490341	0.0	0.0	0.0	2.739771	0.71564133	500.0	0.0	0.0	
810.0	0.9935	0.0	0.0065	0.0	0.0	0.0	0.0	0.0	0.0	1.490295	0.0	0.0	0.0	2.696857	0.71649525	500.0	0.0	0.0	
